JOUR;HORAIRE;EVENEMENT;LIEU
;;;
VENDREDI 24 AVRIL;;;
;16h30;Masterclass Abrazo / Connexion (Eva/Matteo);Rue Boucherie
;17h45;Masterclass Tour (Yanina/Neri);Rue Boucherie
;19h;Masterclass Paradas (Eva/Matteo);Rue Boucherie
;20h;Ouverture portes;Salle des fêtes
;20h-23h30;Milonga DJ Georges Galopa;Salle des fêtes
;21h30;Présentation Artistes;Salle des fêtes
;21h30-00h;Concert SONDERTANGO;Salle des fêtes
;22h15;Démo Marianne & Mauricio;Salle des fêtes
;22h30;La Ronda des Maestros;Salle des fêtes
;23h30-2h;Milonga DJette Raffaela;Salle des fêtes
;;;
SAMEDI 25 AVRIL;;;
;10h;Masterclass Initiation (Eva/Matteo);Rue Boucherie
;11h15;Masterclass Tango au-delà des pas (Yanina/Neri);Rue Boucherie
;14h-15h30;Conférence;Salle des fêtes
;16h30;Masterclass Cours collectif (Eva/Matteo);Rue Boucherie
;17h-19h;Apéro Tango DJette Raffaela;Place d'Armes
;18h;Masterclass Milonga rythme et complicité (Yanina/Neri);Rue Boucherie
;20h;Ouverture portes;Salle des fêtes
;20h-23h30;Milonga DJ Pablo;Salle des fêtes
;21h30-00h;Concert SILBANDO Orchestra;Salle des fêtes
;21h45-23h;Show Tu Abrazo;Salle des fêtes
;23h30-2h;Milonga DJette Raffaela;Salle des fêtes
;;;
DIMANCHE 26 AVRIL;;;
;11h;Masterclass Valse & Fluidité (Sofia/Dario);Rue Boucherie
;12h30;Masterclass NéoTango (Raffaela);Rue Boucherie
;13h-15h;Milonga DJ Georges;Salle des fêtes
;15h-18h;Milonga DJ Pablo;Salle des fêtes
;16h;Démo Chacarera (Marianne/Mauricio);Salle des fêtes
;13h-18h;Milonga despedida;Salle des fêtes
;19h;Fin;
;;;
;;;
TARIFS;;PRIX;
;1 cours;30€;
;6 cours;160€;
;Milonga vendredi;25€;
;Milonga samedi;30€;
;Milonga dimanche;10€;
;Pass festival;210€;
